symbol,name,date,close
AAPL,Apple Inc.,2022-09-14,185.0
AAPL,Apple Inc.,2022-09-15,181.369
AAPL,Apple Inc.,2022-09-16,182.4069
AAPL,Apple Inc.,2022-09-19,185.0467
AAPL,Apple Inc.,2022-09-20,186.9419
AAPL,Apple Inc.,2022-09-21,183.9081
AAPL,Apple Inc.,2022-09-22,187.5269
AAPL,Apple Inc.,2022-09-23,189.9745
AAPL,Apple Inc.,2022-09-26,192.466
AAPL,Apple Inc.,2022-09-27,195.1282
AAPL,Apple Inc.,2022-09-28,199.0848
AAPL,Apple Inc.,2022-09-29,207.2422
AAPL,Apple Inc.,2022-09-30,205.1411
AAPL,Apple Inc.,2022-10-03,205.4342
AAPL,Apple Inc.,2022-10-04,212.0162
AAPL,Apple Inc.,2022-10-05,207.1946
AAPL,Apple Inc.,2022-10-06,208.5119
AAPL,Apple Inc.,2022-10-07,206.1155
AAPL,Apple Inc.,2022-10-10,206.1661
AAPL,Apple Inc.,2022-10-11,208.0235
AAPL,Apple Inc.,2022-10-12,201.177
AAPL,Apple Inc.,2022-10-13,197.8036
AAPL,Apple Inc.,2022-10-14,193.0752
AAPL,Apple Inc.,2022-10-17,192.4043
AAPL,Apple Inc.,2022-10-18,190.1939
AAPL,Apple Inc.,2022-10-19,195.4614
AAPL,Apple Inc.,2022-10-20,193.5081
AAPL,Apple Inc.,2022-10-21,199.5652
AAPL,Apple Inc.,2022-10-24,198.2583
AAPL,Apple Inc.,2022-10-25,199.3283
AAPL,Apple Inc.,2022-10-26,199.5872
AAPL,Apple Inc.,2022-10-27,199.7466
AAPL,Apple Inc.,2022-10-28,195.9311
AAPL,Apple Inc.,2022-10-31,197.2086
AAPL,Apple Inc.,2022-11-01,198.6667
AAPL,Apple Inc.,2022-11-02,199.6207
AAPL,Apple Inc.,2022-11-03,201.9409
AAPL,Apple Inc.,2022-11-04,199.1623
AAPL,Apple Inc.,2022-11-07,198.2376
AAPL,Apple Inc.,2022-11-08,196.0545
AAPL,Apple Inc.,2022-11-09,190.3623
AAPL,Apple Inc.,2022-11-10,191.7145
AAPL,Apple Inc.,2022-11-11,189.6905
AAPL,Apple Inc.,2022-11-14,189.5434
AAPL,Apple Inc.,2022-11-15,197.3335
AAPL,Apple Inc.,2022-11-16,198.2548
AAPL,Apple Inc.,2022-11-17,198.749
AAPL,Apple Inc.,2022-11-18,202.6703
AAPL,Apple Inc.,2022-11-21,207.2984
AAPL,Apple Inc.,2022-11-22,214.1617
AAPL,Apple Inc.,2022-11-23,212.3272
AAPL,Apple Inc.,2022-11-24,219.2913
AAPL,Apple Inc.,2022-11-25,218.914
AAPL,Apple Inc.,2022-11-28,214.6149
AAPL,Apple Inc.,2022-11-29,211.253
AAPL,Apple Inc.,2022-11-30,215.5498
AAPL,Apple Inc.,2022-12-01,218.5986
AAPL,Apple Inc.,2022-12-02,223.7332
AAPL,Apple Inc.,2022-12-05,220.2559
AAPL,Apple Inc.,2022-12-06,219.0701
AAPL,Apple Inc.,2022-12-07,214.6184
AAPL,Apple Inc.,2022-12-08,207.392
AAPL,Apple Inc.,2022-12-09,207.4493
AAPL,Apple Inc.,2022-12-12,213.4491
AAPL,Apple Inc.,2022-12-13,217.8069
AAPL,Apple Inc.,2022-12-14,214.9695
AAPL,Apple Inc.,2022-12-15,219.5727
AAPL,Apple Inc.,2022-12-16,217.4797
AAPL,Apple Inc.,2022-12-19,218.8104
AAPL,Apple Inc.,2022-12-20,222.1578
AAPL,Apple Inc.,2022-12-21,220.6977
AAPL,Apple Inc.,2022-12-22,217.4101
AAPL,Apple Inc.,2022-12-23,220.0465
AAPL,Apple Inc.,2022-12-26,219.4904
AAPL,Apple Inc.,2022-12-27,217.4938
AAPL,Apple Inc.,2022-12-28,220.0717
AAPL,Apple Inc.,2022-12-29,219.3694
AAPL,Apple Inc.,2022-12-30,220.9873
AAPL,Apple Inc.,2023-01-02,217.3847
AAPL,Apple Inc.,2023-01-03,220.3098
AAPL,Apple Inc.,2023-01-04,216.7907
